Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid)
JDK 1.0.x,,45[9].x,23-01-1996,01-05-1996,—
JDK 1.1.x,,45.x,18-02-1997,01-10-2002,—
J2SE 1.2.x,,46.x,04-12-1998,01-11-2003,—
J2SE 1.3.x,,47.x,08-05-2000,01-03-2006,—
J2SE 1.4.x,,48.x,13-02-2002,01-10-2008,—
J2SE 5.0 (1.5).x,,49.x,30-09-2004,01-10-2009,—
Java SE 6 (1.6).x,,50.x,11-12-2006,"April 2013 for Oracle
December 2018 for Azul[10]","December 2016 for Red Hat[11]
October 2018 for Oracle[12]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]"
Java SE 7 (1.7).x,,51.x,28-07-2011,"July 2015 for Oracle
July 2022 for Azul[10]
September 2022 for IBM Java SDK[14]","June 2020 for Red Hat[11]
July 2022 for Oracle[15]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]"
Java SE 8 (1.8).x,LTS,52.x,18-03-2014,"April 2019 for Oracle
November 2026 for Eclipse Temurin[16]
November 2026 for Red Hat[11]
November 2026 for Azul[10]
December 2030 for Amazon Corretto[17]
April 2025 for IBM Java SDK[14]
November 2026 for IBM Semeru Runtimes[18]","December 2030 for Oracle[4]
December 2030 for Azul[10]
March 2031 for BellSoft Liberica[13]"
Java SE 9 (1.9).x,,53.x,21-09-2017,01-03-2018,—
Java SE 10 (1.10).x,,54.x,20-03-2018,01-09-2018,—
Java SE 11.x,LTS,55.x,25-09-2018,"April 2019 for Oracle
September 2027 for Microsoft Build of OpenJDK[19]
October 2024 for Red Hat[11]
October 2027 for Eclipse Temurin[16]
January 2032 for Amazon Corretto[17]
January 2032 for Azul[10]
October 2027 for IBM Semeru Runtimes[18]","January 2032 for Azul[10]
March 2032 for BellSoft Liberica[13]
October 2027 for Red Hat[11]
January 2032 for Oracle[4]"
Java SE 12.x,,56.x,19-03-2019,01-09-2019,—
Java SE 13.x,,57.x,17-09-2019,01-03-2020,—
Java SE 14.x,,58.x,17-03-2020,01-09-2020,—
Java SE 15.x,,59.x,16-09-2020,01-03-2021,—
Java SE 16.x,,60.x,16-03-2021,01-09-2021,—
Java SE 17.x,LTS,61.x,14-09-2021,"September 2024 for Oracle[4]
September 2027 for Microsoft Build of OpenJDK[19]
October 2027 for Eclipse Temurin[16]
October 2027 for Red Hat[11]
October 2029 for Amazon Corretto[17]
September 2029 for Azul[10]
October 2027 for IBM Semeru Runtimes[18]","September 2029 for Oracle[4]
March 2030 for BellSoft Liberica[13]"
Java SE 18.x,,62.x,22-03-2022,01-09-2022,—
Java SE 19.x,,63.x,20-09-2022,01-03-2023,—
Java SE 20.x,,64.x,21-03-2023,01-09-2023,—
Java SE 21.x,LTS,65.x,19-09-2023,"September 2028 for Oracle[4]
September 2028 for Microsoft Build of OpenJDK[19]
December 2029 for Red Hat[11]
December 2029 for Eclipse Temurin[16]
October 2030 for Amazon Corretto[17]
September 2031 for Azul[10]
December 2029 for IBM Semeru Runtimes[18]","September 2031 for Oracle[4]
March 2032 for BellSoft Liberica[13]"
Java SE 22.x,,66.x,19-03-2024,01-09-2024,—
Java SE 23.x,,67.x,17-09-2024,"March 2025 for Oracle
March 2025 for Azul[10]
March 2025 for IBM Semeru Runtimes[18]",—
Java SE 24.x,,68.x,18-03-2025,01-09-2025,—
Java SE 25.x,LTS,69.x,September 2025,September 2030 for Oracle[4],"September 2033 for Oracle[4]
March 2034 for BellSoft Liberica[13]"
"Legend:
Unsupported
Supported
Latest version
Future version.x",,,,,
